"","action_type","combined_shot_type","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","opponent","shot_id"
"8812","Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,8,3,0,"2005-06",15,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","MEM",8812
"8813","Layup Shot","Layup",34.0443,0,0,-118.2698,7,3,0,"2005-06",41,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","MEM",8813
"8814","Jump Shot","Jump Shot",34.0503,225,-6,-118.0448,6,3,0,"2005-06",7,22,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","MEM",8814
"8815","Layup Shot","Layup",34.0443,0,0,-118.2698,5,3,0,"2005-06",0,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","MEM",8815
"8816","Jump Shot","Jump Shot",33.8303,146,214,-118.1238,4,3,0,"2005-06",53,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","MEM",8816
"8819","Jump Shot","Jump Shot",33.8663,186,178,-118.0838,9,4,0,"2005-06",44,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","MEM",8819
"8820","Jump Shot","Jump Shot",33.8983,84,146,-118.1858,9,4,0,"2005-06",9,16,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","MEM",8820
"8821","Jump Shot","Jump Shot",33.8573,36,187,-118.2338,8,4,0,"2005-06",36,19,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","MEM",8821
"8822","Jump Shot","Jump Shot",33.9853,238,59,-118.0318,8,4,0,"2005-06",3,24,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","MEM",8822
"8823","Jump Shot","Jump Shot",33.9913,77,53,-118.1928,7,4,0,"2005-06",14,9,"0","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","MEM",8823
"8824","Layup Shot","Layup",34.0443,0,0,-118.2698,6,4,0,"2005-06",58,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","MEM",8824
"8826","Jump Shot","Jump Shot",33.9043,-138,140,-118.4078,4,4,0,"2005-06",46,19,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","MEM",8826
"8827","Running Jump Shot","Jump Shot",34.0273,140,17,-118.1298,2,4,0,"2005-06",56,14,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","MEM",8827
"8828","Jump Shot","Jump Shot",33.8803,120,164,-118.1498,1,4,0,"2005-06",7,20,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","MEM",8828
"8829","Jump Shot","Jump Shot",33.8143,128,230,-118.1418,0,4,0,"2005-06",0,26,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","MEM",8829
"8831","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,10,1,0,"2005-06",55,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","UTA",8831
"8832","Jump Shot","Jump Shot",34.0213,-158,23,-118.4278,3,1,0,"2005-06",59,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","UTA",8832
"8835","Fadeaway Jump Shot","Jump Shot",34.0473,128,-3,-118.1418,0,1,0,"2005-06",5,12,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","UTA",8835
"8838","Jump Shot","Jump Shot",33.9093,163,135,-118.1068,11,3,0,"2005-06",49,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","UTA",8838
"8839","Jump Shot","Jump Shot",33.7923,62,252,-118.2078,7,3,0,"2005-06",41,25,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","UTA",8839
"8840","Jump Shot","Jump Shot",34.0223,-238,22,-118.5078,7,3,0,"2005-06",11,23,"0","3PT Field Goal","Left Side(L)","Left Corner 3","24+ ft.","UTA",8840
"8841","Turnaround Jump Shot","Jump Shot",33.9343,146,110,-118.1238,5,3,0,"2005-06",24,18,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","UTA",8841
"8842","Jump Shot","Jump Shot",33.8683,-90,176,-118.3598,2,3,0,"2005-06",6,19,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","UTA",8842
"8843","Jump Shot","Jump Shot",33.8583,-174,186,-118.4438,1,3,0,"2005-06",37,25,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","UTA",8843
"8845","Jump Shot","Jump Shot",33.9243,-225,120,-118.4948,6,4,0,"2005-06",26,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","UTA",8845
"8846","Jump Shot","Jump Shot",33.9163,161,128,-118.1088,5,4,0,"2005-06",1,20,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","UTA",8846
"8847","Jump Shot","Jump Shot",33.9863,148,58,-118.1218,4,4,0,"2005-06",30,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","UTA",8847
"8848","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,3,4,0,"2005-06",1,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","UTA",8848
"8849","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,0,4,0,"2005-06",46,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","UTA",8849
"8850","Jump Shot","Jump Shot",33.8113,100,233,-118.1698,11,1,0,"2005-06",29,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","ATL",8850
"8852","Jump Shot","Jump Shot",33.9393,-184,105,-118.4538,6,1,0,"2005-06",47,21,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","ATL",8852
"8853","Jump Shot","Jump Shot",33.7923,121,252,-118.1488,5,1,0,"2005-06",11,27,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","ATL",8853
"8854","Jump Shot","Jump Shot",33.7943,1,250,-118.2688,3,1,0,"2005-06",53,25,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","ATL",8854
"8855","Jump Shot","Jump Shot",33.8813,-141,163,-118.4108,2,1,0,"2005-06",0,21,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","ATL",8855
"8856","Jump Shot","Jump Shot",33.8253,121,219,-118.1488,0,1,0,"2005-06",33,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","ATL",8856
"8857","Jump Shot","Jump Shot",33.8583,-194,186,-118.4638,10,2,0,"2005-06",45,26,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","ATL",8857
"8858","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,9,2,0,"2005-06",5,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ATL",8858
"8859","Turnaround Jump Shot","Jump Shot",33.8503,-67,194,-118.3368,7,2,0,"2005-06",1,20,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","ATL",8859
"8860","Jump Shot","Jump Shot",33.8663,-199,178,-118.4688,6,2,0,"2005-06",24,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","ATL",8860
"8862","Running Jump Shot","Jump Shot",34.0143,166,30,-118.1038,2,2,0,"2005-06",28,16,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","ATL",8862
"8863","Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,0,2,0,"2005-06",33,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ATL",8863
"8866","Jump Shot","Jump Shot",33.8113,189,233,-118.0808,5,3,0,"2005-06",8,30,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","ATL",8866
"8867","Turnaround Jump Shot","Jump Shot",33.9163,121,128,-118.1488,3,3,0,"2005-06",4,17,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","ATL",8867
"8868","Jump Shot","Jump Shot",34.0373,186,7,-118.0838,1,3,0,"2005-06",5,18,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","ATL",8868
"8870","Jump Shot","Jump Shot",33.8713,-182,173,-118.4518,8,4,0,"2005-06",41,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","ATL",8870
"8871","Layup Shot","Layup",34.0443,0,0,-118.2698,7,4,0,"2005-06",33,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ATL",8871
"8872","Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,5,4,0,"2005-06",7,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ATL",8872
"8874","Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,3,4,0,"2005-06",26,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ATL",8874
"8875","Jump Shot","Jump Shot",33.8523,200,192,-118.0698,0,4,0,"2005-06",15,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","ATL",8875
"8876","Jump Shot","Jump Shot",33.9783,235,66,-118.0348,0,4,0,"2005-06",6,24,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","ATL",8876
"8877","Jump Shot","Jump Shot",33.8403,177,204,-118.0928,0,4,0,"2005-06",0,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","ATL",8877
"8878","Jump Hook Shot","Jump Shot",33.9933,18,51,-118.2518,9,1,0,"2005-06",17,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","POR",8878
"8879","Alley Oop Layup shot","Layup",34.0443,0,0,-118.2698,6,1,0,"2005-06",41,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","POR",8879
"8881","Jump Shot","Jump Shot",33.8323,141,212,-118.1288,4,2,0,"2005-06",4,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","POR",8881
"8882","Jump Shot","Jump Shot",33.7973,71,247,-118.1988,1,2,0,"2005-06",53,25,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","POR",8882
"8883","Jump Shot","Jump Shot",33.8143,117,230,-118.1528,0,2,0,"2005-06",43,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","POR",8883
"8885","Jump Shot","Jump Shot",33.8703,-84,174,-118.3538,7,3,0,"2005-06",50,19,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","POR",8885
"8886","Jump Shot","Jump Shot",33.8533,186,191,-118.0838,3,3,0,"2005-06",53,26,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","POR",8886
"8887","Jump Shot","Jump Shot",33.8703,-197,174,-118.4668,3,3,0,"2005-06",3,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","POR",8887
"8890","Jump Shot","Jump Shot",33.8883,130,156,-118.1398,7,4,0,"2005-06",44,20,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","POR",8890
"8892","Jump Shot","Jump Shot",33.8433,164,201,-118.1058,5,4,0,"2005-06",46,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","POR",8892
"8894","Jump Shot","Jump Shot",33.8343,0,210,-118.2698,4,4,0,"2005-06",6,21,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","POR",8894
"8895","Jump Shot","Jump Shot",33.7973,121,247,-118.1488,3,4,0,"2005-06",39,27,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","POR",8895
"8896","Jump Shot","Jump Shot",33.8153,128,229,-118.1418,2,4,0,"2005-06",46,26,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","POR",8896
"8898","Jump Shot","Jump Shot",34.0363,186,8,-118.0838,9,1,0,"2005-06",34,18,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","SAC",8898
"8899","Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,5,1,0,"2005-06",58,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","SAC",8899
"8900","Jump Shot","Jump Shot",33.8203,-113,224,-118.3828,4,1,0,"2005-06",59,25,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","SAC",8900
"8901","Jump Shot","Jump Shot",33.7943,1,250,-118.2688,3,1,0,"2005-06",43,25,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","SAC",8901
"8902","Jump Shot","Jump Shot",33.8813,194,163,-118.0758,2,1,0,"2005-06",38,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","SAC",8902
"8903","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,1,0,"2005-06",8,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","SAC",8903
"8904","Jump Shot","Jump Shot",33.9403,172,104,-118.0978,0,1,0,"2005-06",0,20,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","SAC",8904
"8906","Jump Shot","Jump Shot",33.8863,220,158,-118.0498,9,2,0,"2005-06",27,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","SAC",8906
"8907","Jump Shot","Jump Shot",33.9373,172,107,-118.0978,7,2,0,"2005-06",12,20,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","SAC",8907
"8908","Layup Shot","Layup",34.0443,0,0,-118.2698,6,2,0,"2005-06",54,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","SAC",8908
"8909","Jump Shot","Jump Shot",33.9473,-159,97,-118.4288,6,2,0,"2005-06",32,18,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","SAC",8909
"8911","Jump Shot","Jump Shot",34.0443,110,0,-118.1598,11,3,0,"2005-06",19,11,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","SAC",8911
"8912","Jump Shot","Jump Shot",33.9293,123,115,-118.1468,7,3,0,"2005-06",37,16,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","SAC",8912
"8913","Jump Shot","Jump Shot",33.8683,-194,176,-118.4638,7,3,0,"2005-06",12,26,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","SAC",8913
"8914","Jump Shot","Jump Shot",33.9373,143,107,-118.1268,10,4,0,"2005-06",41,17,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","SAC",8914
"8915","Layup Shot","Layup",34.0443,0,0,-118.2698,10,4,0,"2005-06",14,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","SAC",8915
"8916","Jump Shot","Jump Shot",33.9523,-118,92,-118.3878,8,4,0,"2005-06",52,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","SAC",8916
"8917","Turnaround Jump Shot","Jump Shot",34.0113,-113,33,-118.3828,8,4,0,"2005-06",42,11,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","SAC",8917
"8919","Jump Shot","Jump Shot",34.0423,-189,2,-118.4588,8,4,0,"2005-06",12,18,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","SAC",8919
"8920","Jump Shot","Jump Shot",33.9723,130,72,-118.1398,6,4,0,"2005-06",47,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","SAC",8920
"8921","Jump Shot","Jump Shot",33.8303,-130,214,-118.3998,5,4,0,"2005-06",36,25,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","SAC",8921
"8922","Jump Shot","Jump Shot",33.8423,163,202,-118.1068,4,4,0,"2005-06",58,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","SAC",8922
"8923","Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,4,4,0,"2005-06",33,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","SAC",8923
"8924","Running Layup Shot","Layup",34.0443,0,0,-118.2698,11,1,0,"2005-06",5,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","LAC",8924
"8925","Jump Shot","Jump Shot",33.9273,169,117,-118.1008,4,1,0,"2005-06",57,20,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","LAC",8925
"8926","Jump Shot","Jump Shot",33.8813,-135,163,-118.4048,4,1,0,"2005-06",26,21,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","LAC",8926
"8927","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,4,1,0,"2005-06",8,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","LAC",8927
"8928","Jump Shot","Jump Shot",33.9013,128,143,-118.1418,3,1,0,"2005-06",32,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","LAC",8928
"8929","Jump Shot","Jump Shot",33.7863,-94,258,-118.3638,0,1,0,"2005-06",55,27,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","LAC",8929
"8930","Jump Shot","Jump Shot",33.8913,-105,153,-118.3748,11,2,0,"2005-06",47,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","LAC",8930
"8931","Jump Shot","Jump Shot",33.8433,-172,201,-118.4418,11,2,0,"2005-06",6,26,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","LAC",8931
"8932","Jump Shot","Jump Shot",33.9473,62,97,-118.2078,9,2,0,"2005-06",30,11,"0","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","LAC",8932
"8933","Jump Shot","Jump Shot",33.8573,164,187,-118.1058,9,2,0,"2005-06",0,24,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","LAC",8933
"8934","Jump Shot","Jump Shot",34.0553,118,-11,-118.1518,8,2,0,"2005-06",31,11,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","LAC",8934
"8935","Jump Shot","Jump Shot",34.0413,115,3,-118.1548,4,2,0,"2005-06",19,11,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","LAC",8935
"8936","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,3,2,0,"2005-06",18,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","LAC",8936
"8937","Jump Shot","Jump Shot",33.9063,-149,138,-118.4188,1,2,0,"2005-06",36,20,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","LAC",8937
"8938","Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,0,2,0,"2005-06",58,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","LAC",8938
"8942","Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,11,4,0,"2005-06",52,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","LAC",8942
"8943","Jump Shot","Jump Shot",33.7833,-8,261,-118.2778,8,4,0,"2005-06",5,26,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","LAC",8943
"8945","Jump Shot","Jump Shot",33.9143,204,130,-118.0658,6,4,0,"2005-06",50,24,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","LAC",8945
"8946","Jump Shot","Jump Shot",33.8943,-218,150,-118.4878,6,4,0,"2005-06",10,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","LAC",8946
"8947","Jump Shot","Jump Shot",33.8473,-153,197,-118.4228,5,4,0,"2005-06",40,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","LAC",8947
"8948","Jump Shot","Jump Shot",34.0533,140,-9,-118.1298,4,4,0,"2005-06",7,14,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","LAC",8948
"8951","Jump Shot","Jump Shot",34.0473,-192,-3,-118.4618,2,4,0,"2005-06",41,19,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","LAC",8951
"8952","Jump Shot","Jump Shot",34.0363,-191,8,-118.4608,1,4,0,"2005-06",42,19,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","LAC",8952
"8953","Jump Shot","Jump Shot",34.0133,182,31,-118.0878,10,1,0,"2005-06",48,18,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","BOS",8953
"8954","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,8,1,0,"2005-06",47,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",8954
"8955","Jump Shot","Jump Shot",33.8273,-168,217,-118.4378,8,1,0,"2005-06",32,27,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","BOS",8955
"8956","Jump Shot","Jump Shot",33.8343,151,210,-118.1188,6,1,0,"2005-06",50,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","BOS",8956
"8957","Jump Shot","Jump Shot",33.8453,177,199,-118.0928,6,1,0,"2005-06",19,26,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","BOS",8957
"8959","Jump Shot","Jump Shot",33.8433,-159,201,-118.4288,1,1,0,"2005-06",52,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","BOS",8959
"8960","Layup Shot","Layup",34.0443,0,0,-118.2698,0,1,0,"2005-06",11,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",8960
"8961","Jump Shot","Jump Shot",33.8863,-110,158,-118.3798,7,2,0,"2005-06",15,19,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","BOS",8961
"8962","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,6,2,0,"2005-06",45,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",8962
"8963","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,6,2,0,"2005-06",16,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",8963
"8964","Jump Shot","Jump Shot",33.9573,225,87,-118.0448,5,2,0,"2005-06",27,24,"1","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","BOS",8964
"8965","Layup Shot","Layup",34.0443,0,0,-118.2698,2,2,0,"2005-06",25,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",8965
"8966","Jump Shot","Jump Shot",33.8173,143,227,-118.1268,1,2,0,"2005-06",59,26,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","BOS",8966
"8968","Jump Shot","Jump Shot",33.8143,108,230,-118.1618,7,3,0,"2005-06",46,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","BOS",8968
"8969","Jump Shot","Jump Shot",33.9633,-130,81,-118.3998,5,3,0,"2005-06",24,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","BOS",8969
"8970","Fadeaway Jump Shot","Jump Shot",33.9733,-54,71,-118.3238,4,3,0,"2005-06",53,8,"1","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","BOS",8970
"8971","Layup Shot","Layup",34.0443,0,0,-118.2698,2,3,0,"2005-06",58,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",8971
"8972","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,0,3,0,"2005-06",28,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",8972
"8973","Jump Shot","Jump Shot",33.8353,-184,209,-118.4538,3,4,0,"2005-06",28,27,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","BOS",8973
"8974","Jump Shot","Jump Shot",33.9983,36,46,-118.2338,0,4,0,"2005-06",25,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","BOS",8974
"8976","Jump Shot","Jump Shot",33.9093,74,135,-118.1958,11,1,0,"2005-06",29,15,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","ORL",8976
"8977","Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,3,1,0,"2005-06",45,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ORL",8977
"8978","Jump Shot","Jump Shot",33.8833,-181,161,-118.4508,0,1,0,"2005-06",30,24,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","ORL",8978
"8981","Jump Shot","Jump Shot",33.8933,-107,151,-118.3768,0,2,0,"2005-06",1,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","ORL",8981
"8982","Jump Shot","Jump Shot",33.8683,174,176,-118.0958,7,3,0,"2005-06",46,24,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","ORL",8982
"8983","Jump Shot","Jump Shot",33.8433,-158,201,-118.4278,6,3,0,"2005-06",47,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","ORL",8983
"8984","Fadeaway Jump Shot","Jump Shot",34.0673,159,-23,-118.1108,3,3,0,"2005-06",18,16,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","ORL",8984
"8985","Jump Shot","Jump Shot",34.0083,-172,36,-118.4418,9,4,0,"2005-06",35,17,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","ORL",8985
"8986","Jump Shot","Jump Shot",33.8123,151,232,-118.1188,7,4,0,"2005-06",26,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","ORL",8986
"8987","Jump Shot","Jump Shot",33.8533,79,191,-118.1908,7,4,0,"2005-06",6,20,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","ORL",8987
"8988","Hook Shot","Hook Shot",34.0093,-10,35,-118.2798,6,4,0,"2005-06",5,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ORL",8988
"8989","Jump Shot","Jump Shot",33.8453,-62,199,-118.3318,5,4,0,"2005-06",8,20,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","ORL",8989
"8990","Jump Shot","Jump Shot",33.9033,204,141,-118.0658,4,4,0,"2005-06",26,24,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","ORL",8990
"8992","Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,2,4,0,"2005-06",27,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","ORL",8992
"8993","Jump Shot","Jump Shot",33.8603,102,184,-118.1678,1,4,0,"2005-06",53,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","ORL",8993
"8994","Jump Shot","Jump Shot",33.8243,-108,220,-118.3778,0,4,0,"2005-06",31,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","ORL",8994
"8997","Jump Shot","Jump Shot",34.0183,179,26,-118.0908,0,1,0,"2005-06",28,18,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","POR",8997
"8999","Jump Shot","Jump Shot",34.0453,-123,-1,-118.3928,8,2,0,"2005-06",21,12,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","POR",8999
"9003","Driving Layup Shot","Layup",34.0443,0,0,-118.2698,6,2,0,"2005-06",6,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","POR",9003
